Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip duration(mins),Time of day
619,Airport,1,Trip Completed,11/07/2016 11:51,11/07/2016 13:00,69,Daytime
867,Airport,1,Trip Completed,11/07/2016 17:57,11/07/2016 18:47,50,Evening
1807,City,1,Trip Completed,12/07/2016 09:17,12/07/2016 09:58,41,Early Morning
2532,Airport,1,Trip Completed,12/07/2016 21:08,12/07/2016 22:03,55,Night
3112,City,1,Trip Completed,13/07/2016 08:33,13/07/2016 09:25,53,Early Morning
3879,Airport,1,Trip Completed,13/07/2016 21:57,13/07/2016 22:28,32,Night
4270,Airport,1,Trip Completed,14/07/2016 06:15,14/07/2016 07:13,58,Early Morning
5510,Airport,1,Trip Completed,15/07/2016 05:11,15/07/2016 06:07,56,Early Morning
6248,City,1,Trip Completed,15/07/2016 17:57,15/07/2016 18:50,53,Evening
267,City,2,Trip Completed,11/07/2016 06:46,11/07/2016 07:25,39,Early Morning
1467,Airport,2,Trip Completed,12/07/2016 05:08,12/07/2016 06:02,54,Early Morning
1983,City,2,Trip Completed,12/07/2016 12:30,12/07/2016 12:57,27,Daytime
2784,Airport,2,Trip Completed,13/07/2016 04:49,13/07/2016 05:23,34,Early Morning
3075,City,2,Trip Completed,13/07/2016 08:02,13/07/2016 09:16,73,Early Morning
3379,City,2,Trip Completed,13/07/2016 14:23,13/07/2016 15:35,72,Daytime
3482,Airport,2,Trip Completed,13/07/2016 17:23,13/07/2016 18:20,58,Evening
4652,City,2,Trip Completed,14/07/2016 12:01,14/07/2016 12:36,36,Daytime
5335,Airport,2,Trip Completed,14/07/2016 22:24,14/07/2016 23:18,55,Night
535,Airport,3,Trip Completed,11/07/2016 10:00,11/07/2016 10:31,31,Daytime
960,Airport,3,Trip Completed,11/07/2016 18:45,11/07/2016 19:23,38,Evening
1934,Airport,3,Trip Completed,12/07/2016 11:17,12/07/2016 12:23,66,Daytime
2083,Airport,3,Trip Completed,12/07/2016 15:46,12/07/2016 16:40,54,Daytime
2211,Airport,3,Trip Completed,12/07/2016 18:00,12/07/2016 18:28,28,Evening
3096,Airport,3,Trip Completed,13/07/2016 08:17,13/07/2016 09:22,65,Early Morning
3881,Airport,3,Trip Completed,13/07/2016 21:54,13/07/2016 22:51,57,Night
5254,City,3,Trip Completed,14/07/2016 21:23,14/07/2016 22:25,62,Night
5434,City,3,Trip Completed,15/07/2016 02:41,15/07/2016 03:24,43,Night
5916,City,3,Trip Completed,15/07/2016 10:00,15/07/2016 10:53,52,Daytime
669,City,4,Trip Completed,11/07/2016 13:08,11/07/2016 13:49,41,Daytime
1567,Airport,4,Trip Completed,12/07/2016 06:21,12/07/2016 07:10,49,Early Morning
1826,City,4,Trip Completed,12/07/2016 09:27,12/07/2016 10:27,60,Early Morning
2102,City,4,Trip Completed,12/07/2016 16:09,12/07/2016 17:01,52,Evening
2847,Airport,4,Trip Completed,13/07/2016 05:34,13/07/2016 06:09,36,Early Morning
3722,Airport,4,Trip Completed,13/07/2016 19:57,13/07/2016 20:32,34,Evening
4075,City,4,Trip Completed,14/07/2016 02:17,14/07/2016 03:21,64,Night
4686,City,4,Trip Completed,14/07/2016 13:01,14/07/2016 13:45,44,Daytime
5771,Airport,4,Trip Completed,15/07/2016 08:30,15/07/2016 09:37,67,Early Morning
6106,Airport,4,Trip Completed,15/07/2016 15:01,15/07/2016 15:47,46,Daytime
312,City,5,Trip Completed,11/07/2016 07:27,11/07/2016 08:31,64,Early Morning
577,Airport,5,Trip Completed,11/07/2016 11:03,11/07/2016 12:01,58,Daytime
1179,City,5,Trip Completed,11/07/2016 20:58,11/07/2016 21:45,47,Night
1756,Airport,5,Trip Completed,12/07/2016 08:40,12/07/2016 09:23,43,Early Morning
2052,City,5,Trip Completed,12/07/2016 14:48,12/07/2016 15:50,62,Daytime
2559,City,5,Trip Completed,12/07/2016 21:32,12/07/2016 22:29,57,Night
3014,City,5,Trip Completed,13/07/2016 07:28,13/07/2016 08:29,62,Early Morning
3317,City,5,Trip Completed,13/07/2016 12:14,13/07/2016 12:46,32,Daytime
